Shed Garvey, the medical tech, was hunched over his lab table.;{'entities': [(0, 11, 'PERSON')]}
Shed's been tellin' me about how the prosthetic is gonna hook up to it.;{'entities': [(0, 4, 'PERSON')]}
Dresden is a piece of shit.;{'entities': [(0, 7, 'PERSON')]}
“There's some infection,” Shed said.;{'entities': [(26, 30, 'PERSON')]}
The one called Mole.;{'entities': [(15, 19, 'PERSON')]}
The fire spraying across Dookie's body.;{'entities': [(25, 31, 'PERSON')]}
Hasini caught Miller's eyes.;{'entities': [(0, 6, 'PERSON'), (14, 20, 'PERSON')]}
Holden let the comment hang in the air for a second while Shed's ears turned crimson.;{'entities': [(0, 6, 'PERSON'), (58, 62, 'PERSON')]}
Shaddid and Ramachandra and all the rest of them should think better of me.;{'entities': [(0, 7, 'PERSON'), (12, 23, 'PERSON')]}
The company shed 100 jobs.;{}
She shed some tears.;{}
Roger that El Tee.;{}
Trouble El Tee?;{}
What's going on El Tee?;{}
Roger that.;{}
Solid copy on that.;{}
Copy that.;{}
A thin foil of Mylar.;{}
The Mylar faceplate had cracked.;{}
Detainment was a bad scenario.;{}
Detainment by the inner planet navies was a bad scenario.;{}
Deck after deck.;{}
Fuck their magic McGuffin.;{}
Ladar and radar are instruments on a spaceship.;{}
Radar and ladar are instruments on a spaceship.;{}
Ladar says it's a big hole in the side.;{}
Radar says that they are still five klicks out.;{'entities': [(31, 42, 'QUANTITY')]}
The monitor showed a massive IR spike.;{}
This is a pre-Epstein drive.;{}
The Coriolis effect made him a little unsteady.;{}
The ship was equipped with an Epstein Drive.;{}
The MCRN Sally Ride had three decks: the bridge, CIC, and engineering.;{'entities': [(9, 19, 'SHIP')]}
Taking a ship's CIC is important in QCB.;{}
She'll do fine for fifty thousand klicks in vacuum.;{'entities': [(19, 40, 'QUANTITY')]}
They stopped about two million klicks out.;{'entities': [(19, 37, 'QUANTITY')]}
Eros jumped two hundred klicks spinward.;{'entities': [(0, 4, 'LOC'), (12, 30, 'QUANTITY')]}
The torpedoes are now at over forty klicks a second and accelerating.;{'entities': [(30, 42, 'QUANTITY')]}
Malthus Tycho was an engineering genius.;{'entities': [(0, 13, 'PERSON')]}
Havelock turned in the cart while Miller went to his cubicle.;{'entities': [(0, 8, 'PERSON'), (34, 40, 'PERSON')]}
Naomi here's been signed on for ages.;{'entities': [(0, 5, 'PERSON')]}
Make sure Shed does heal fast.;{'entities': [(10, 14, 'PERSON')]}
Captain Shaddid looked pained.;{'entities': [(0, 15, 'PERSON')]}
A blue that Havelock assured him matched the Earth's summer sky.;{'entities': [(12, 20, 'PERSON'), (45, 50, 'LOC')]}
The old west affectation common to everyone from the Mariner Valley annoyed Holden.;{'entities': [(53, 67, 'LOC'), (76, 82, 'PERSON')]}
If you had an impossible engineering job that needed to be done in the Belt, you hired Tycho.;{'entities': [(71, 75, 'LOC'), (87, 92, 'ORG')]}
You'll still have the Ceres assignments you have now.;{'entities': [(22, 27, 'LOC')]}
In the Ceres spin gravity.;{'entities': [(7, 12, 'LOC')]}
Holden thinks often of Ade Tukunbo.;{'entities': [(0, 6, 'PERSON'), (23, 34, 'PERSON')]}
Titania is a moon in the solar system.;{'entities': [(0, 7, 'LOC'),(25, 37, 'LOC')]}
Spinning it up to 0.3 g had taken the best minds at Tycho Manufacturing half a generation;{'entities': [(18, 23, 'QUANTITY'), (52, 71, 'ORG')]}
Holden was floating in zero g.;{'entities': [(0, 6, 'PERSON'), (23, 29, 'QUANTITY')]}
The thrust dropped to a tolerable half a g.;{'entities': [(34, 42, 'QUANTITY')]}
Javier Liu, was a structural engineer from Tycho.;{'entities': [(0, 10, 'PERSON'), (43, 48, 'ORG')]}
It's the site of a big construction project Tycho is working on.;{'entities': [(44, 49, 'ORG')]}
Tycho Manufacturing and Engineering Concern was one of the first major corporations to move into the Belt.;{'entities': [(0, 43, 'ORG')]}
In the early days of expansion, Tycho engineers and a fleet of ships had captured a small comet.;{'entities': [(32, 37, 'ORG')]}
As an encore, Tycho had built the massive reaction drives into the rock of Ceres and Eros.;{'entities': [(14, 19, 'ORG'), (75, 80, 'LOC'), (85, 89, 'LOC')]}
Went off to college, got involved with a group called the Far Horizons Foundation.;{'entities': [(58, 81, 'ORG')]}
He wondered which side Captain Shaddid would be on if the OPA attacked.;{'entities': [(23, 38, 'PERSON'), (58, 61, 'NORP')]}
Fuck the Inners;{'entities': [(9, 15, 'NORP')]}
Inners don't understand Belters;{'entities': [(0, 6, 'NORP'), (24, 31, 'NORP')]}
Holden is a lowly Earther.;{'entities': [(0, 6, 'PERSON'), (18, 25, 'NORP')]}
Alex is a cool Martian.;{'entities': [(0, 4, 'PERSON'), (15, 22, 'NORP')]}
Naomi is a tough Belter.;{'entities': [(0, 5, 'PERSON'), (17, 23, 'NORP')]}
This is Belter quality.;{'entities': [(8, 14, 'NORP')]}
